CP,msg
productor,"{index: 83, value: .\..\..\.git\objects\c4\b91cc86706dfd1ef50977a2fa8ace4c7b304d8}"
consumer,"{index: 83, value: .\..\..\.git\objects\c4\b91cc86706dfd1ef50977a2fa8ace4c7b304d8}"
productor,"{index: 84, value: .\..\..\.git\objects\c6\be7e594df6c04954f536ab7e4ba653fbbec117}"
consumer,"{index: 84, value: .\..\..\.git\objects\c6\be7e594df6c04954f536ab7e4ba653fbbec117}"
productor,"{index: 85, value: .\..\..\.git\objects\c8\fd2279527978b933d2c84b701ec2efc9f0a3a8}"
consumer,"{index: 85, value: .\..\..\.git\objects\c8\fd2279527978b933d2c84b701ec2efc9f0a3a8}"
productor,"{index: 86, value: .\..\..\.git\objects\cb\213fb7360244abd93baafe696b947f8078db13}"
consumer,"{index: 86, value: .\..\..\.git\objects\cb\213fb7360244abd93baafe696b947f8078db13}"
productor,"{index: 87, value: .\..\..\.git\objects\d0\adc57900a5c10de0cbef5f8f441ff457485915}"
consumer,"{index: 87, value: .\..\..\.git\objects\d0\adc57900a5c10de0cbef5f8f441ff457485915}"
productor,"{index: 87, value: .\..\..\.git\objects\d0\af999be3591df83331557ff90d4ee388a04048}"
consumer,"{index: 87, value: .\..\..\.git\objects\d0\af999be3591df83331557ff90d4ee388a04048}"
productor,"{index: 88, value: .\..\..\.git\objects\d3\3923e1cc583f8f3f17abb848afe1e01a6d1c06}"
consumer,"{index: 88, value: .\..\..\.git\objects\d3\3923e1cc583f8f3f17abb848afe1e01a6d1c06}"
productor,"{index: 89, value: .\..\..\.git\objects\d6\5bf86f291c8f6f1ceddd3b37138ec2919a02c2}"
consumer,"{index: 89, value: .\..\..\.git\objects\d6\5bf86f291c8f6f1ceddd3b37138ec2919a02c2}"
productor,"{index: 90, value: .\..\..\.git\objects\d7\361fc6d64f636ca3a2285e94e4653bd2897449}"
consumer,"{index: 90, value: .\..\..\.git\objects\d7\361fc6d64f636ca3a2285e94e4653bd2897449}"
productor,"{index: 91, value: .\..\..\.git\objects\de\70dd44a38808244fc08eefed227d8dc8d52a23}"
consumer,"{index: 91, value: .\..\..\.git\objects\de\70dd44a38808244fc08eefed227d8dc8d52a23}"
productor,"{index: 92, value: .\..\..\.git\objects\e2\d0c2d0166322f0788966409aed8e7080cacec7}"
consumer,"{index: 92, value: .\..\..\.git\objects\e2\d0c2d0166322f0788966409aed8e7080cacec7}"
productor,"{index: 93, value: .\..\..\.git\objects\e3\2c3c3d46f9b091c0b417d9b695c49e6d330f61}"
consumer,"{index: 93, value: .\..\..\.git\objects\e3\2c3c3d46f9b091c0b417d9b695c49e6d330f61}"
productor,"{index: 94, value: .\..\..\.git\objects\e4\cb7f3345a14bd687a0386f2f370523869e3240}"
